Apply Discount,Apply
"Add To Cart","Add To Bag"
"Order Total","Grand Total"
Apply Discount Code,Promotional Code
Enter discount code,Enter code
Enter the gift card code,Enter code
Add Gift Card,Apply
Cancel Gift Card,Cancel
Cancel Coupon,Cancel
Add new shipping address,Add New Address
Subscribe to newsletter,Sign up for our newsletter
"Please enter less or equal than {0} symbols.","Please enter less or equal than {0} characters."
"FREE!","Free Gift"
