Discounts,Discounts
Invoiced,Invoiced
"All Customer Groups","All Customer Groups"
"Number of orders","Number of orders"
"Quantity Sold","Quantity Sold"
"Quantity Ordered","Quantity Ordered"
"Quantity Cancelled","Quantity Cancelled"
"Quantity Refunded","Quantity Refunded"
Brand,Brand
"Customer Name","Customer Name"
"Customer Email","Customer Email"
"Order Number","Order Number"
"Date of Purchase","Date of Purchase"
"Items Quantity","Items Quantity"
ID,ID
"Coupon Code","Coupon Code"
"Abandoned Cart: Created At","Abandoned Cart: Created At"
"Abandoned Cart: Items Qty","Abandoned Cart: Items Qty"
"Abandoned Products","Abandoned Products"
"Abandoned Carts: Grand Total","Abandoned Carts: Grand Total"
Period,Period
Visitors,Visitors
"Orders Placed","Orders Placed"
"New Accounts","New Accounts"
"New Customers","New Customers"
"Returning Customers","Returning Customers"
"Percent of Returning","Percent of Returning"
"Cart Price Rule","Cart Price Rule"
Shipping,Shipping
"Order ID","Order ID"
"Order Status","Order Status"
"Order Date","Order Date"
"Payment Method","Payment Method"
"Product Name","Product Name"
"Original Price","Original Price"
Price,Price
"Qty Ordered","Qty Ordered"
"Row Total","Row Total"
Condition,Condition
CSV,CSV
"Excel XML","Excel XML"
"Number of Orders, %","Number of Orders, %"
"Items Ordered, %","Items Ordered, %"
"Subtotal, %","Subtotal, %"
"Tax, %","Tax, %"
"Shipping, %","Shipping, %"
"Discounts, %","Discounts, %"
"Total, %","Total, %"
"Invoiced, %","Invoiced, %"
"Refunded, %","Refunded, %"
State,State
"Day Of Week","Day Of Week"
"Custom Menu Item","Custom Menu Item"
Back,Back
Title,Title
"Last Updated","Last Updated"
"Pin in Custom Reports Tab","Pin in Custom Reports Tab"
"Add New Rule","Add New Rule"
"Delete items","Delete items"
"Are you sure to delete selected links?","Are you sure to delete selected links?"
