"Last Imported: ","Last Imported: "
"When import in progress please do not close thisbrowser window and do not attempt to operate Magento backend in separate tabs. Import usually takes from 10 to 20 minutes.","When import in progress please do not close thisbrowser window and do not attempt to operate Magento backend in separate tabs. Import usually takes from 10 to 20 minutes."
"Download and Import","Download and Import"
Download,Download
Import,Import
Completed,Completed
"GeoIp data is up-to-date.","GeoIp data is up-to-date."
"Geo Ip Data","Geo Ip Data"
